sample	subject	time
Evo_Utrecht_cin_105_A_4	E_105	t0
Evo_Utrecht_cin_108_A	E_108	t0
Evo_Utrecht_cin_164_A	E_164	t0
Evo_Utrecht_cin_169_A	E_169	t0
Evo_Utrecht_cin_180_A	E_180	t0
Evo_Utrecht_cin_228_A	E_228	t0
Evo_Utrecht_cin_233_A	E_233	t0
Evo_Utrecht_cin_236_A	E_236	t0
Evo_Utrecht_cin_105_B_1	E_105	t1
Evo_Utrecht_cin_108_B	E_108	t1
Evo_Utrecht_cin_164_B	E_164	t1
Evo_Utrecht_cin_169_B	E_169	t1
Evo_Utrecht_cin_180_B	E_180	t1
Evo_Utrecht_cin_228_B	E_228	t1
Evo_Utrecht_cin_233_B	E_233	t1
Evo_Utrecht_cin_236_B	E_236	t1